State,Action
Initial,Launch Epic 2017
HyperSpace,Enter Password
HyperSpace,Enter Department
HyperSpace,Choose Instance
HyperSpace,Enter Username
HyperSpace,OK
EVS Command Center,Create a new Request
Cleaning Request,Cleaning Protocols
Cleaning Protocol Test,Airbourne Respirator
Cleaning Protocol Test,Contact Enteric
Cleaning Protocol Test,Back
Cleaning Request,Priority
Cleaning Request,Cancel
EVS Command Center,Create a new Request
Cleaning Request,Unit
Cleaning Request,Bed
Bed Select,Cancel
Cleaning Request,Priority
Cleaning Request,Cleaning Protocols
Cleaning Protocol Test,Back
Cleaning Request,Bed
Bed Select,Clean
Bed Select,Accept
Cleaning Request,Cancel
EVS Command Center,Create a new Request
Cleaning Request,Bed
Bed Select,Dirty
Dirty Cleaning Request,Room
Dirty Cleaning Request,Back
Bed Select,Back
Cleaning Request,Bed
Bed Select,Clean
Bed Select,Cancel
Cleaning Request,Cancel
EVS Command Center,Create a new Request
