State,Action
Initial,Launch Epic 2017
HyperSpace,Message of the Day
HyperSpace,Login
HyperSpace,Choose Instance
HyperSpace,OK
EVS Command Center,Create a new Request
Cleaning Request,Bed
Bed Select,Clean
Bed Select,Cancel
Cleaning Request,Unit
Cleaning Request,Bed
Bed Select,Dirty
Dirty Cleaning Request,Close
Bed Select,Back
Cleaning Request,Cancel
EVS Command Center,Create a new Request
Cleaning Request,Bed
Bed Select,Cancel
Cleaning Request,Room
Cleaning Request,Priority
Cleaning Request,Bed
Bed Select,Dirty
Dirty Cleaning Request,Close
Bed Select,Accept
Cleaning Request,Room
Cleaning Request,Cancel
EVS Command Center,Create a new Request
Cleaning Request,Cleaning Protocols
Cleaning Protocol Test,Accept
Cleaning Request,Accept
